sample,tray_num,block_num,desert,fire_name,fire_year,TSF,TSF2,burn,plot_num,fullplot_name,line,location,overstory,unique_ID,date_coll
197,25,2,GB,OW,1,15,15F,burned,15,GB-OW-01-3,2,20,S,GB-OW-01-3-2-20-S,2018-06-26
189,24,1,GB,OW,1,15,15F,burned,15,GB-OW-01-3,3,10,I,GB-OW-01-3-3-10-I,2018-06-26
526,66,6,GB,OW,1,15,15F,burned,15,GB-OW-01-3,3,10,S,GB-OW-01-3-3-10-S,2018-06-26
1,1,1,GB,OW,1,15,15F,burned,15,GB-OW-01-3,3,20,I,GB-OW-01-3-3-20-I,2018-06-26
149,19,2,GB,OW,1,15,15F,burned,15,GB-OW-01-3,3,20,S,GB-OW-01-3-3-20-S,2018-06-26
234,30,3,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,1,10,I,GB-OW-CON-1-1-10-I,2018-06-26
147,19,2,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,1,10,S,GB-OW-CON-1-1-10-S,2018-06-26
111,14,4,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,1,20,I,GB-OW-CON-1-1-20-I,2018-06-26
158,20,2,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,1,20,S,GB-OW-CON-1-1-20-S,2018-06-26
384,48,5,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,2,10,I,GB-OW-CON-1-2-10-I,2018-06-26
109,14,4,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,2,10,S,GB-OW-CON-1-2-10-S,2018-06-26
479,60,5,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,2,20,I,GB-OW-CON-1-2-20-I,2018-06-26
355,45,6,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,2,20,S,GB-OW-CON-1-2-20-S,2018-06-26
160,20,2,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,3,10,I,GB-OW-CON-1-3-10-I,2018-06-26
338,43,1,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,3,10,S,GB-OW-CON-1-3-10-S,2018-06-26
199,25,2,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,3,20,I,GB-OW-CON-1-3-20-I,2018-06-26
166,21,1,GB,OW,CON,control,15C,control,16,GB-OW-CON-1,3,20,S,GB-OW-CON-1-3-20-S,2018-06-26
82,11,4,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,1,10,I,GB-OW-CON-2-1-10-I,2018-06-25
73,10,4,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,1,10,S,GB-OW-CON-2-1-10-S,2018-06-25
252,32,4,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,1,20,I,GB-OW-CON-2-1-20-I,2018-06-25
124,16,3,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,1,20,S,GB-OW-CON-2-1-20-S,2018-06-25
41,6,3,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,I,GB-OW-CON-2-2-10-I,2018-06-25
49,7,3,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,2,10,S,GB-OW-CON-2-2-10-S,2018-06-25
119,15,3,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,2,20,I,GB-OW-CON-2-2-20-I,2018-06-25
144,18,2,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,2,20,S,GB-OW-CON-2-2-20-S,2018-06-25
415,52,5,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,3,10,I,GB-OW-CON-2-3-10-I,2018-06-25
297,38,3,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,3,10,S,GB-OW-CON-2-3-10-S,2018-06-25
318,40,2,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,3,20,I,GB-OW-CON-2-3-20-I,2018-06-25
494,62,5,GB,OW,CON,control,15C,control,17,GB-OW-CON-2,3,20,S,GB-OW-CON-2-3-20-S,2018-06-25
323,41,2,GB,OW,CON,control,15C,control,18,GB-OW-CON-3,1,10,I,GB-OW-CON-3-1-10-I,2018-06-25
