lmfdb_label,conductor,disc,rank,regulator,mwgens,abs_disc,log_disc,tau,log_regulator
4959.c1,4959,-7631901.0,1,0.6089147406715044,"[(-2, 10)]",7631901.0,6.882632728122589,2.76303368796733,-0.21544351230081646
4959.f1,4959,-7631901.0,1,3.3444986788496327,"[(118, 1214)]",7631901.0,6.882632728122589,2.76303368796733,0.5243310287458212
4959.h1,4959,-11648691.0,1,4.364064049385829,"[(161/2, 797/2)]",11648691.0,7.066277125068716,2.789366212927409,0.6398911159158778
4961.a1,4961,-54571.0,1,0.8702812363281388,"[(6, 13)]",54571.0,4.736961912194411,2.3894284286663043,-0.060340379919666134
4961.b1,4961,-32757934451.0,1,0.5460974336634897,"[(18, 60)]",32757934451.0,10.515316509547047,3.186865354714892,-0.2627298643085773
4962.a1,4962,133974.0,1,0.3696152274397479,"[(-1, 5)]",133974.0,5.127020524095178,2.468557141180804,-0.4322501448646572
4962.b1,4962,1205766.0,1,0.4420902090753488,"[(7, 10)]",1205766.0,6.081263033534502,2.6392448554306434,-0.3544891031628975
4962.g1,4962,952704.0,2,0.1231683976589289,"[(7, 8), (3, 0)]",952704.0,5.97895798863974,2.622278748635959,-0.909500708076499
4962.h1,4962,59544.0,1,0.2624506203280523,"[(-1, 3)]",59544.0,4.774838005983815,2.3973924931567527,-0.5809523962311005
4962.i1,4962,-854391318408.0,1,0.3638220768567822,"[(176, 2099)]",854391318408.0,11.931656826778752,3.3132275507408617,-0.4391109512054603
4962.j1,4962,-5327906930688.0,1,0.2645378824481793,"[(106, 715)]",5327906930688.0,12.726556629855626,3.3777233286789086,-0.5775121270179079
4962.k1,4962,11112339456.0,1,0.0627405846745423,"[(-8, 58)]",11112339456.0,10.045805499613639,3.141187629410246,-1.2024514377713096
4962.l1,4962,400044220416.0,1,0.0640961905642401,"[(-18, 81)]",400044220416.0,11.602108000380927,3.2852192510212075,-1.1931677805070837
4962.m1,4962,-102892032.0,1,0.083375032107821,"[(4, 16)]",102892032.0,8.01238174412669,2.9150205084624843,-1.078963985307164
4962.n1,4962,6250690944.0,1,0.0983093261477921,"[(-14, 34)]",6250690944.0,9.79592802639704,3.1159992370668106,-1.0074052802774627
4962.o1,4962,-4962.0,1,2.2113754310524794,"[(-1/2, 13/2)]",4962.0,3.6956567599361905,2.1411907267322627,0.3446624801800489
4963.a1,4963,34741.0,2,0.2364163968547261,"[(5, 3), (8, 9)]",34741.0,4.54084231521158,2.3471449720772117,-0.6263224057095419
4963.b1,4963,1702309.0,2,0.4436315018524299,"[(-3, 3), (-41/3, 53/3)]",1702309.0,6.231038395240094,2.663575440761862,-0.3529776224905182
4963.c1,4963,1702309.0,2,0.684257238022803,"[(-5, 24), (29/2, 45/2)]",1702309.0,6.231038395240094,2.663575440761862,-0.16478059989494262
4963.d1,4963,1702309.0,1,0.2612250176797924,"[(11, 24)]",1702309.0,6.231038395240094,2.663575440761862,-0.5829852325906208
4966.b1,4966,1301807104.0,1,0.1299010106710239,"[(13, 9)]",1301807104.0,9.114546637170207,3.0439041140363035,-0.8863874696308189
4966.c1,4966,79456.0,1,0.4231132431178236,"[(-3, 3)]",79456.0,4.90012669787447,2.4232935067393333,-0.37354338127136727
4968.a1,4968,1430784.0,2,0.1322549580667138,"[(1, 6), (-5, 12)]",1430784.0,6.155574074927754,2.6513904702227196,-0.8785880375227914
4968.b1,4968,7243344.0,1,0.2353363008396469,"[(0, 9)]",7243344.0,6.85993911115048,2.7597310110207722,-0.6283110771511998
4968.f1,4968,-3656448.0,1,0.4438882506775355,"[(14, 46)]",3656448.0,6.563059401506023,2.715489311667045,-0.35272635010870124
4968.g1,4968,-463574016.0,1,1.8720103635745589,"[(7, 44)]",463574016.0,8.666119085134367,2.9934535101207347,0.2723082487152351
4968.h1,4968,9936.0,1,0.3864925072019026,"[(2, 1)]",9936.0,3.997211582832505,2.2196294589857963,-0.41285892107031374
